"_id","group","item","_label","dist"
52810,3647,1053,contains,
52811,3436,1054,contains,
52812,3436,1055,contains,
52813,3436,1056,contains,
52814,3466,1057,contains,
52815,3459,1058,contains,
52816,3459,1059,contains,
52817,3647,1060,contains,
52818,3647,1061,contains,
52819,3647,1062,contains,
52820,3647,1063,contains,
52821,3647,1064,contains,
52822,3647,1065,contains,
52823,3647,1066,contains,
52824,3647,1067,contains,
52825,3647,1068,contains,
52826,3647,1069,contains,
52827,3647,1070,contains,
52828,3647,1071,contains,
52829,3647,1072,contains,
52830,3647,1073,contains,
52831,3647,1074,contains,
52832,3647,1075,contains,
52833,3647,1076,contains,
52834,3647,1077,contains,
52835,3647,1078,contains,
52836,3647,1079,contains,
52837,3647,1080,contains,
52838,3647,1081,contains,
52839,3647,1082,contains,
52840,3647,1083,contains,
52841,3647,1084,contains,
52842,3647,1085,contains,
52843,3647,1086,contains,
52844,3647,1087,contains,
52845,3647,1088,contains,
52846,3647,1089,contains,
52847,3647,1090,contains,
52848,3647,1091,contains,
52849,3647,1092,contains,
52850,3647,1093,contains,
52851,3647,1094,contains,
52852,3647,1095,contains,
52853,3647,1096,contains,
52854,3647,1097,contains,
52855,3647,1098,contains,
52856,3647,1099,contains,
52857,3647,1100,contains,
52858,3647,1101,contains,
52859,3647,1102,contains,
52860,3647,1103,contains,
52861,3647,1104,contains,
52862,3647,1105,contains,
52863,3647,1106,contains,
52864,3647,1107,contains,
52865,3647,1108,contains,
52866,3647,1109,contains,
52867,3647,1110,contains,
52868,3647,1111,contains,
52869,3647,1112,contains,
52870,3647,1113,contains,
52871,3647,1114,contains,
52872,3647,1115,contains,
52873,3647,1116,contains,
52874,3647,1117,contains,
52875,3647,1118,contains,
52876,3561,1119,contains,
52877,3561,1120,contains,
52878,3561,1121,contains,
52879,3561,1122,contains,
52880,3561,1123,contains,
52881,3561,1124,contains,
52882,3561,1125,contains,
52883,3561,1126,contains,
52884,3647,1127,contains,
52885,3647,1128,contains,
52886,3647,1129,contains,
52887,3459,1130,contains,
52888,3459,1131,contains,
52889,3459,1132,contains,
52890,3459,1133,contains,
52891,3459,1134,contains,
52892,3459,1135,contains,
52893,3459,1136,contains,
52894,3459,1137,contains,
52895,3459,1138,contains,
52896,3459,1139,contains,
52897,3459,1140,contains,
52898,3459,1141,contains,
52899,3459,1142,contains,
52900,3474,1143,contains,
52901,3474,1144,contains,
52902,3520,1145,contains,
